,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
0,095570,AJ네트웍스,KOSPI,서비스업,4550,0,0.0,205900053450
1,006840,AK홀딩스,KOSPI,기타금융,14160,110,0.78,187585463760
2,027410,BGF,KOSPI,기타금융,3570,20,0.56,341708943870
3,282330,BGF리테일,KOSPI,유통업,105500,1600,1.54,1823452083000
4,138930,BNK금융지주,KOSPI,기타금융,8550,-80,-0.93,2753856144900
5,001460,BYC,KOSPI,섬유의복,35300,450,1.29,220489095000
6,001465,BYC우,KOSPI,섬유의복,15000,-60,-0.4,32307750000
7,001040,CJ,KOSPI,기타금융,118200,-1900,-1.58,3448721163600
8,079160,CJ CGV,KOSPI,서비스업,5760,100,1.77,953737637760
9,00104K,CJ4우(전환),KOSPI,기타금융,87200,0,0.0,368551846400
10,000120,CJ대한통운,KOSPI,운수창고업,90600,-1600,-1.74,2066798366400
11,011150,CJ씨푸드,KOSPI,음식료품,4540,30,0.67,163125709420
12,011155,CJ씨푸드1우,KOSPI,음식료품,21650,-550,-2.48,4330000000
13,001045,CJ우,KOSPI,기타금융,58800,0,0.0,132901112400
14,097950,CJ제일제당,KOSPI,음식료품,371500,1000,0.27,5592630099000
15,097955,CJ제일제당 우,KOSPI,음식료품,152100,2100,1.4,201902559300
16,000480,CR홀딩스,KOSPI,비금속광물,6020,70,1.18,282280749800
17,000590,CS홀딩스,KOSPI,기타금융,69900,0,0.0,80698291800
18,012030,DB,KOSPI,서비스업,1288,-3,-0.23,259112025704
19,016610,DB금융투자,KOSPI,증권,4480,45,1.01,190159822720
20,005830,DB손해보험,KOSPI,보험,105800,-2300,-2.13,7490640000000
21,000990,DB하이텍,KOSPI,전기전자,52200,1900,3.78,2317606293600
22,139130,DGB금융지주,KOSPI,기타금융,7870,-70,-0.88,1331177705710
23,001530,DI동일,KOSPI,유통업,28100,100,0.36,708560383200
24,000210,DL,KOSPI,화학,58100,-900,-1.53,1217536860400
25,000215,DL우,KOSPI,화학,27750,600,2.21,46789691250
26,375500,DL이앤씨,KOSPI,건설업,34200,800,2.4,1323321906600
27,37550L,DL이앤씨2우(전환),KOSPI,건설업,23250,700,3.1,49102860750
28,37550K,DL이앤씨우,KOSPI,건설업,18150,300,1.68,38367012750
29,007340,DN오토모티브,KOSPI,전기전자,82900,400,0.48,828503014500
30,004840,DRB동일,KOSPI,화학,5370,280,5.5,107024100000
31,155660,DSR,KOSPI,철강금속,4430,15,0.34,70880000000
32,069730,DSR제강,KOSPI,철강금속,4410,50,1.15,63504000000
33,017860,DS단석,KOSPI,화학,106500,300,0.28,624239526000
34,017940,E1,KOSPI,유통업,73400,-900,-1.21,503524000000
35,365550,ESR켄달스퀘어리츠,KOSPI,서비스업,4735,80,1.72,1008976415000
36,383220,F&F,KOSPI,섬유의복,60400,-100,-0.17,2313747330000
37,007700,F&F홀딩스,KOSPI,기타금융,15240,40,0.26,596102953080
38,114090,GKL,KOSPI,서비스업,12390,20,0.16,766391751300
39,078930,GS,KOSPI,기타금융,46500,100,0.22,4320565077000
40,006360,GS건설,KOSPI,건설업,17260,1210,7.54,1477136517400
41,001250,GS글로벌,KOSPI,유통업,3280,65,2.02,270710745920
42,007070,GS리테일,KOSPI,유통업,21200,150,0.71,2220019946400
43,078935,GS우,KOSPI,기타금융,38850,-150,-0.38,69340490100
44,012630,HDC,KOSPI,기타금융,8540,430,5.3,510194297340
45,039570,HDC랩스,KOSPI,건설업,8500,150,1.8,220639608500
46,089470,HDC현대EP,KOSPI,화학,4180,85,2.08,133342000000
47,294870,HDC현대산업개발,KOSPI,건설업,19750,1400,7.63,1301669767500
48,009540,HD한국조선해양,KOSPI,기타금융,168800,3100,1.87,11946501980800
49,267250,HD현대,KOSPI,기타금융,76100,-300,-0.39,6011373768500
50,267270,HD현대건설기계,KOSPI,기계,57800,5200,9.89,1089362148800
51,443060,HD현대마린솔루션,KOSPI,서비스업,124100,700,0.57,5516245000000
52,010620,HD현대미포,KOSPI,운수장비,99100,-900,-0.9,3958266965900
53,322000,HD현대에너지솔루션,KOSPI,전기전자,26550,-100,-0.38,297360000000
54,042670,HD현대인프라코어,KOSPI,기계,8080,730,9.93,1612795900240
55,267260,HD현대일렉트릭,KOSPI,전기전자,343500,9000,2.69,12382190872500
56,329180,HD현대중공업,KOSPI,운수장비,160000,2400,1.52,14203698560000
57,097230,HJ중공업,KOSPI,건설업,3405,30,0.89,283548926805
58,014790,HL D&I,KOSPI,건설업,2285,45,2.01,86506903285
59,003580,HLB글로벌,KOSPI,유통업,6310,-130,-2.02,299162728520
60,204320,HL만도,KOSPI,운수장비,41450,0,0.0,1946372624000
61,060980,HL홀딩스,KOSPI,기타금융,33900,150,0.44,344742999000
62,011200,HMM,KOSPI,운수창고업,17610,50,0.28,13190585524560
63,035000,HS애드,KOSPI,서비스업,6290,-30,-0.47,104209002610
64,002460,HS화성,KOSPI,건설업,9110,-20,-0.22,92466500000
65,003560,IHQ,KOSPI,서비스업,10760,0,0.0,59719334240
66,175330,JB금융지주,KOSPI,기타금융,14290,-180,-1.24,2787738899420
67,234080,JW생명과학,KOSPI,의약품,11960,-40,-0.33,189381265840
68,001060,JW중외제약,KOSPI,의약품,34100,-450,-1.3,794050213000
69,001067,JW중외제약2우B,KOSPI,의약품,56300,0,0.0,11821479900
70,001065,JW중외제약우,KOSPI,의약품,31000,0,0.0,10600481000
71,096760,JW홀딩스,KOSPI,기타금융,3385,45,1.35,250235928670
72,105560,KB금융,KOSPI,기타금융,85700,-1300,-1.49,34580898870400
73,432320,KB스타리츠,KOSPI,서비스업,4500,70,1.58,456364282500
