기업코드,EV,EBITDA,EV/EBITDA
095570,11528,615,18.744715447154473
006840,27192,1606,16.931506849315067
027410,6049,185,32.6972972972973
282330,20343,1597,12.738259236067627
138930,,,
001460,3491,84,41.55952380952381
001465,,,
001040,310636,14382,21.59894312334863
079160,23860,723,33.00138312586446
00104K,,,
000120,60195,1094,55.02285191956124
011150,1322,32,41.3125
011155,,,
001045,,,
097950,184377,7557,24.398173878523224
097955,,,
000480,9472,170,55.71764705882353
000590,1395,50,27.9
012030,4911,95,51.694736842105264
016610,,,
005830,,,
000990,19202,781,24.58642765685019
139130,,,
001530,9184,95,96.67368421052632
000210,68138,2833,24.051535474761735
000215,,,
375500,14898,831,17.927797833935017
37550L,,,
37550K,,,
007340,28369,1431,19.82459818308875
004840,3630,149,24.36241610738255
155660,1332,78,17.076923076923077
069730,685,58,11.810344827586206
017860,11900,120,99.16666666666667
017940,28297,1591,17.785669390320553
365550,20510,220,93.22727272727273
383220,27240,1511,18.027796161482463
007700,16524,1543,10.70900842514582
114090,7955,218,36.49082568807339
078930,143912,10163,14.160385712880055
006360,47850,1220,39.221311475409834
001250,4735,229,20.676855895196507
007070,53633,2599,20.63601385148134
078935,,,
012630,54064,1035,52.235748792270535
039570,2196,1,2196.0
089470,1935,142,13.626760563380282
294870,21703,551,39.38838475499092
009540,108509,2811,38.60156527926005
267250,335208,12481,26.85746334428331
267270,14968,698,21.444126074498566
443060,,,
010620,25185,74,340.3378378378378
322000,2755,-115,-23.956521739130434
042670,24304,1317,18.4540622627183
267260,66790,1436,46.51114206128134
329180,120055,930,129.09139784946237
097230,7408,192,38.583333333333336
014790,7038,232,30.336206896551722
003580,3839,30,127.96666666666667
204320,30978,1547,20.024563671622495
060980,11008,760,14.48421052631579
011200,108333,6251,17.330507118860982
035000,1054,-48,-21.958333333333332
002460,2386,168,14.202380952380953
003560,815,13,62.69230769230769
175330,,,
234080,2073,125,16.584
001060,8197,311,26.356913183279744
001067,,,
001065,,,
096760,8252,512,16.1171875
105560,,,
432320,5065,-5,-1013.0
002380,62990,2192,28.736313868613138
344820,7093,432,16.41898148148148
009070,3582,115,31.14782608695652
009440,2047,-21,-97.47619047619048
119650,1904,37,51.45945945945946
092220,2933,19,154.3684210526316
003620,12096,611,19.797054009819966
016380,12527,628,19.947452229299362
001390,40589,1075,37.757209302325585
033180,3183,12,265.25
015590,1061,7,151.57142857142858
001940,8372,25,334.88
025000,2336,219,10.666666666666666
092230,7639,295,25.894915254237286
000040,1203,-41,-29.341463414634145
044450,13743,428,32.10981308411215
030200,183546,14946,12.28061019670815
033780,123050,2974,41.37525218560861
058850,1582,128,12.359375
058860,2429,149,16.302013422818792
093050,9346,480,19.470833333333335
003550,148081,4682,31.62772319521572
034220,206383,8097,25.488823020871926
051900,64079,2150,29.804186046511628
051905,,,
373220,1059143,6273,168.84154312131358
003555,,,
032640,102535,8873,11.555843570382057
011070,67732,4910,13.794704684317718
066570,273211,21812,12.525719787273061
066575,,,
