기업코드,기업명,수익성,효율성,퀄리티,변동성,기업분류지표
095570,AJ네트웍스,p,e,q,V,peqV
006840,AK홀딩스,p,e,q,V,peqV
027410,BGF,p,e,Q,V,peQV
282330,BGF리테일,P,E,q,V,PEqV
001460,BYC,p,e,Q,V,peQV
001040,CJ,p,e,q,v,peqv
079160,CJ CGV,P,e,q,V,PeqV
000120,CJ대한통운,P,e,q,V,PeqV
097950,CJ제일제당,p,e,q,V,peqV
000480,CR홀딩스,p,e,q,V,peqV
000590,CS홀딩스,p,e,Q,V,peQV
012030,DB,p,e,q,V,peqV
000990,DB하이텍,p,e,Q,v,peQv
001530,DI동일,P,e,Q,V,PeQV
000210,DL,p,e,q,V,peqV
375500,DL이앤씨,P,e,q,V,PeqV
007340,DN오토모티브,p,e,q,V,peqV
004840,DRB동일,p,e,Q,v,peQv
155660,DSR,p,e,Q,V,peQV
069730,DSR제강,p,e,Q,V,peQV
017940,E1,P,e,q,V,PeqV
383220,F&F,p,E,Q,V,pEQV
007700,F&F홀딩스,p,e,Q,v,peQv
114090,GKL,p,E,Q,V,pEQV
078930,GS,p,e,Q,V,peQV
006360,GS건설,p,e,q,V,peqV
001250,GS글로벌,P,e,q,V,PeqV
007070,GS리테일,P,e,q,V,PeqV
012630,HDC,p,e,q,V,peqV
039570,HDC랩스,P,E,Q,V,PEQV
089470,HDC현대EP,p,e,Q,V,peQV
294870,HDC현대산업개발,p,e,q,V,peqV
009540,HD한국조선해양,P,e,q,v,Peqv
267250,HD현대,p,e,q,V,peqV
267270,HD현대건설기계,p,e,Q,v,peQv
010620,HD현대미포,P,E,q,v,PEqv
322000,HD현대에너지솔루션,P,e,Q,v,PeQv
042670,HD현대인프라코어,p,e,q,v,peqv
267260,HD현대일렉트릭,p,E,Q,v,pEQv
329180,HD현대중공업,P,E,q,v,PEqv
097230,HJ중공업,P,e,q,V,PeqV
014790,HL D&I,p,e,q,V,peqV
003580,HLB글로벌,P,E,q,v,PEqv
204320,HL만도,p,e,q,v,peqv
060980,HL홀딩스,p,e,q,V,peqV
