,종목 코드,베타 값
0,095570,0.52692
1,006840,0.46803
2,027410,0.65719
3,282330,0.29867
4,138930,0.40175
5,001460,0.47972
6,001465,
7,001040,0.65282
8,079160,0.57715
9,00104K,
10,000120,0.41137
11,011150,0.55898
12,011155,
13,001045,
14,097950,0.35562
15,097955,
16,000480,0.69249
17,000590,0.26349
18,012030,0.52005
19,016610,0.36593
20,005830,0.54690
21,000990,1.00778
22,139130,0.49847
23,001530,0.61473
24,000210,0.56230
25,000215,
26,375500,0.47824
27,37550L,
28,37550K,
29,007340,0.42371
30,004840,0.58421
31,155660,0.43336
32,069730,0.54307
33,017860,0.92007
34,017940,0.40459
35,365550,0.23905
36,383220,0.59006
37,007700,0.88430
38,114090,0.40641
39,078930,0.61029
40,006360,0.64711
41,001250,0.63225
42,007070,0.38133
43,078935,
44,012630,0.36546
45,039570,0.18048
46,089470,0.60828
47,294870,0.43928
48,009540,0.95321
49,267250,0.54881
50,267270,1.43534
51,443060,-0.11289
52,010620,0.95208
53,322000,1.10806
54,042670,1.55051
55,267260,0.57740
56,329180,0.94045
57,097230,0.64586
58,014790,0.35857
59,003580,1.02882
60,204320,1.07229
61,060980,0.34707
62,011200,1.01647
63,035000,0.16905
64,002460,0.28562
65,003560,0.00000
66,175330,0.55827
67,234080,0.41671
68,001060,0.85745
69,001067,
70,001065,
71,096760,0.52913
72,105560,1.03122
73,432320,0.18402
74,002380,0.74093
75,344820,0.28829
76,009070,0.35317
77,009440,0.63980
78,119650,0.54148
79,092220,1.01102
80,003620,0.93105
81,016380,1.09760
82,001390,0.90571
83,033180,0.00000
84,015590,0.30967
85,001940,0.42240
86,025000,0.22202
87,092230,0.23694
88,000040,0.37201
89,044450,0.63665
90,030200,0.53447
91,033780,0.34113
92,058850,0.86170
93,058860,0.70740
94,093050,0.35483
95,003550,1.06322
96,034220,1.07036
97,051900,0.75606
98,051905,
99,373220,1.70077
100,003555,
101,032640,0.25463
102,011070,1.03560
103,066570,0.78411
104,066575,
105,037560,0.61471
106,051910,1.38847
107,051915,
108,079550,0.30194
109,006260,1.42348
110,010120,0.93935
111,000680,0.33122
112,229640,0.30803
113,108320,0.57033
114,001120,0.78428
115,108670,0.58530
116,108675,
117,383800,0.42305
118,38380K,
119,023150,0.22296
120,035420,0.86164
121,181710,0.49991
122,400760,0.23260
123,005940,0.58511
124,005945,
125,338100,0.08469
126,034310,0.06416
127,030190,0.30281
128,008260,0.68957
129,004250,0.81529
130,004255,
131,456040,1.11917
132,010060,0.91233
133,178920,1.22607
134,005490,1.77226
135,010950,0.53601
136,010955,
137,034120,0.35240
138,005090,0.35412
139,001380,0.64407
140,004060,0.41090
141,001770,0.25712
142,002360,0.43290
143,009160,0.76831
144,123700,0.66053
145,025530,0.67284
146,034730,1.17633
147,011790,1.45031
148,018670,0.11977
149,001740,1.04949
150,006120,0.68088
151,006125,
152,210980,0.44305
153,395400,0.35554
154,302440,1.00777
155,326030,0.83342
156,402340,1.46636
157,361610,1.29587
158,100090,1.04153
159,03473K,
160,096770,1.61450
161,096775,
162,475150,1.25037
163,001510,0.58409
164,001515,
165,285130,0.68604
166,28513K,
167,017670,0.25706
168,000660,1.33229
169,003570,0.11854
170,064960,0.42726
171,100840,0.84672
172,036530,0.34992
173,005610,0.15607
174,011810,1.83939
175,465770,1.32460
176,077970,0.45626
177,071970,0.80533
178,002820,0.16602
179,084870,0.10190
180,002710,1.50661
181,069260,0.32324
182,007980,0.63205
183,002900,0.90849
184,024070,0.13527
185,037270,0.66991
186,000500,1.28014
187,000860,0.25234
188,035250,0.62139
189,011420,0.60542
190,002100,0.18217
191,009450,0.57704
192,267290,0.26593
193,012320,0.76729
194,000050,0.26085
195,214390,0.86324
196,012610,0.50564
197,009140,0.48157
198,013580,0.60441
199,012200,0.42945
200,012205,
201,002140,0.34791
202,010130,0.63634
203,002240,0.58979
204,009290,0.49230
205,017040,0.92193
206,017900,0.74391
207,037710,0.17811
208,030610,0.41232
209,339770,0.32348
210,007690,0.44556
211,005320,0.97793
212,001140,0.46207
213,002720,0.39348
214,083420,1.04572
215,014530,-0.01972
216,014280,0.68176
217,014285,
218,008870,0.44140
