C_ID,T_ID,Text,Completion
0,0,투자성향 테스트 할래,"좋아요! 질문을 제시할테니 해당하는 답의 번호를 적어주세요!
""투자를 처음 접하는 당신! 투자의 목적은 무엇인가요?""
    1. 인생역전! 돈을 많이 불리고 싶어요.
    2. 그냥 소소하게 용돈벌이를 하고 싶어요."
0,1,1,"다음 질문입니다!
“’아…옷사고싶다…’ 당신은 어떤 옷을 구매하는 편인가요?” 
    1. 검증된게 좋지. 이미 유행하고 있는 옷을 구매한다.
    2. 내 눈은 정확하다..! 나중에 유행할 패션을 예측하여 구매한다.

"
0,2,1,"다음 질문이에요!
""이럴수가, 밥솥이 고장났네요! 새로운 밥솥을 어떻게 고를까요?""
    1. 싼게 비지떡! 평판이 좋은 브랜드의 제품을 구매한다.
    2. 브랜드와 상관없이 가장 저렴한 제품을 선택한다."
0,3,1,"마지막 질문입니다!
""포커를 하는 당신!! 좋은 패가 나왔군요. 당신의 선택은?”
    1. 미쳤다…! 올인한다.
    2. 혹시 모르니까… 적당한 돈만 배팅한다."
0,4,1,테스트를 마치겠습니다! 고객님의 투자유형은 PEQV입니다!
1,0,투자성향 테스트 할래,"좋아요! 질문을 제시할테니 해당하는 답의 번호를 적어주세요!
""투자를 처음 접하는 당신! 투자의 목적은 무엇인가요?""
    1. 인생역전! 돈을 많이 불리고 싶어요.
    2. 그냥 소소하게 용돈벌이를 하고 싶어요."
1,1,2,"다음 질문입니다!
“’아…옷사고싶다…’ 당신은 어떤 옷을 구매하는 편인가요?” 
    1. 검증된게 좋지. 이미 유행하고 있는 옷을 구매한다.
    2. 내 눈은 정확하다..! 나중에 유행할 패션을 예측하여 구매한다.

"
1,2,1,"다음 질문이에요!
""이럴수가, 밥솥이 고장났네요! 새로운 밥솥을 어떻게 고를까요?""
    1. 싼게 비지떡! 평판이 좋은 브랜드의 제품을 구매한다.
    2. 브랜드와 상관없이 가장 저렴한 제품을 선택한다."
1,3,1,"마지막 질문입니다!
""포커를 하는 당신!! 좋은 패가 나왔군요. 당신의 선택은?”
    1. 미쳤다…! 올인한다.
    2. 혹시 모르니까… 적당한 돈만 배팅한다."
1,4,1,테스트를 마치겠습니다! 고객님의 투자유형은 pEQV입니다!
2,0,투자성향 테스트 할래,"좋아요! 질문을 제시할테니 해당하는 답의 번호를 적어주세요!
""투자를 처음 접하는 당신! 투자의 목적은 무엇인가요?""
    1. 인생역전! 돈을 많이 불리고 싶어요.
    2. 그냥 소소하게 용돈벌이를 하고 싶어요."
2,1,1,"다음 질문입니다!
“’아…옷사고싶다…’ 당신은 어떤 옷을 구매하는 편인가요?” 
    1. 검증된게 좋지. 이미 유행하고 있는 옷을 구매한다.
    2. 내 눈은 정확하다..! 나중에 유행할 패션을 예측하여 구매한다.

"
2,2,2,"다음 질문이에요!
""이럴수가, 밥솥이 고장났네요! 새로운 밥솥을 어떻게 고를까요?""
    1. 싼게 비지떡! 평판이 좋은 브랜드의 제품을 구매한다.
    2. 브랜드와 상관없이 가장 저렴한 제품을 선택한다."
2,3,1,"마지막 질문입니다!
""포커를 하는 당신!! 좋은 패가 나왔군요. 당신의 선택은?”
    1. 미쳤다…! 올인한다.
    2. 혹시 모르니까… 적당한 돈만 배팅한다."
2,4,1,테스트를 마치겠습니다! 고객님의 투자유형은 PeQV입니다!
3,0,투자성향 테스트 할래,"좋아요! 질문을 제시할테니 해당하는 답의 번호를 적어주세요!
""투자를 처음 접하는 당신! 투자의 목적은 무엇인가요?""
    1. 인생역전! 돈을 많이 불리고 싶어요.
    2. 그냥 소소하게 용돈벌이를 하고 싶어요."
3,1,1,"다음 질문입니다!
“’아…옷사고싶다…’ 당신은 어떤 옷을 구매하는 편인가요?” 
    1. 검증된게 좋지. 이미 유행하고 있는 옷을 구매한다.
    2. 내 눈은 정확하다..! 나중에 유행할 패션을 예측하여 구매한다.

"
3,2,1,"다음 질문이에요!
""이럴수가, 밥솥이 고장났네요! 새로운 밥솥을 어떻게 고를까요?""
    1. 싼게 비지떡! 평판이 좋은 브랜드의 제품을 구매한다.
    2. 브랜드와 상관없이 가장 저렴한 제품을 선택한다."
3,3,2,"마지막 질문입니다!
""포커를 하는 당신!! 좋은 패가 나왔군요. 당신의 선택은?”
    1. 미쳤다…! 올인한다.
    2. 혹시 모르니까… 적당한 돈만 배팅한다."
3,4,1,테스트를 마치겠습니다! 고객님의 투자유형은 PEqV입니다!
4,0,투자성향 테스트 할래,"좋아요! 질문을 제시할테니 해당하는 답의 번호를 적어주세요!
""투자를 처음 접하는 당신! 투자의 목적은 무엇인가요?""
    1. 인생역전! 돈을 많이 불리고 싶어요.
    2. 그냥 소소하게 용돈벌이를 하고 싶어요."
4,1,1,"다음 질문입니다!
“’아…옷사고싶다…’ 당신은 어떤 옷을 구매하는 편인가요?” 
    1. 검증된게 좋지. 이미 유행하고 있는 옷을 구매한다.
    2. 내 눈은 정확하다..! 나중에 유행할 패션을 예측하여 구매한다.

"
4,2,1,"다음 질문이에요!
""이럴수가, 밥솥이 고장났네요! 새로운 밥솥을 어떻게 고를까요?""
    1. 싼게 비지떡! 평판이 좋은 브랜드의 제품을 구매한다.
    2. 브랜드와 상관없이 가장 저렴한 제품을 선택한다."
4,3,1,"마지막 질문입니다!
""포커를 하는 당신!! 좋은 패가 나왔군요. 당신의 선택은?”
    1. 미쳤다…! 올인한다.
    2. 혹시 모르니까… 적당한 돈만 배팅한다."
4,4,2,테스트를 마치겠습니다! 고객님의 투자유형은 PEQv입니다!
5,0,투자성향 테스트 할래,"좋아요! 질문을 제시할테니 해당하는 답의 번호를 적어주세요!
""투자를 처음 접하는 당신! 투자의 목적은 무엇인가요?""
    1. 인생역전! 돈을 많이 불리고 싶어요.
    2. 그냥 소소하게 용돈벌이를 하고 싶어요."
5,1,1,"다음 질문입니다!
“’아…옷사고싶다…’ 당신은 어떤 옷을 구매하는 편인가요?” 
    1. 검증된게 좋지. 이미 유행하고 있는 옷을 구매한다.
    2. 내 눈은 정확하다..! 나중에 유행할 패션을 예측하여 구매한다.

"
5,2,1,"다음 질문이에요!
""이럴수가, 밥솥이 고장났네요! 새로운 밥솥을 어떻게 고를까요?""
    1. 싼게 비지떡! 평판이 좋은 브랜드의 제품을 구매한다.
    2. 브랜드와 상관없이 가장 저렴한 제품을 선택한다."
5,3,2,"마지막 질문입니다!
""포커를 하는 당신!! 좋은 패가 나왔군요. 당신의 선택은?”
    1. 미쳤다…! 올인한다.
    2. 혹시 모르니까… 적당한 돈만 배팅한다."
5,4,2,테스트를 마치겠습니다! 고객님의 투자유형은 PEqv입니다!
6,0,투자성향 테스트 할래,"좋아요! 질문을 제시할테니 해당하는 답의 번호를 적어주세요!
""투자를 처음 접하는 당신! 투자의 목적은 무엇인가요?""
    1. 인생역전! 돈을 많이 불리고 싶어요.
    2. 그냥 소소하게 용돈벌이를 하고 싶어요."
6,1,1,"다음 질문입니다!
“’아…옷사고싶다…’ 당신은 어떤 옷을 구매하는 편인가요?” 
    1. 검증된게 좋지. 이미 유행하고 있는 옷을 구매한다.
    2. 내 눈은 정확하다..! 나중에 유행할 패션을 예측하여 구매한다.

"
6,2,2,"다음 질문이에요!
""이럴수가, 밥솥이 고장났네요! 새로운 밥솥을 어떻게 고를까요?""
    1. 싼게 비지떡! 평판이 좋은 브랜드의 제품을 구매한다.
    2. 브랜드와 상관없이 가장 저렴한 제품을 선택한다."
6,3,1,"마지막 질문입니다!
""포커를 하는 당신!! 좋은 패가 나왔군요. 당신의 선택은?”
    1. 미쳤다…! 올인한다.
    2. 혹시 모르니까… 적당한 돈만 배팅한다."
6,4,2,테스트를 마치겠습니다! 고객님의 투자유형은 PeQv입니다!
7,0,투자성향 테스트 할래,"좋아요! 질문을 제시할테니 해당하는 답의 번호를 적어주세요!
""투자를 처음 접하는 당신! 투자의 목적은 무엇인가요?""
    1. 인생역전! 돈을 많이 불리고 싶어요.
    2. 그냥 소소하게 용돈벌이를 하고 싶어요."
7,1,1,"다음 질문입니다!
“’아…옷사고싶다…’ 당신은 어떤 옷을 구매하는 편인가요?” 
    1. 검증된게 좋지. 이미 유행하고 있는 옷을 구매한다.
    2. 내 눈은 정확하다..! 나중에 유행할 패션을 예측하여 구매한다.

"
7,2,2,"다음 질문이에요!
""이럴수가, 밥솥이 고장났네요! 새로운 밥솥을 어떻게 고를까요?""
    1. 싼게 비지떡! 평판이 좋은 브랜드의 제품을 구매한다.
    2. 브랜드와 상관없이 가장 저렴한 제품을 선택한다."
7,3,2,"마지막 질문입니다!
""포커를 하는 당신!! 좋은 패가 나왔군요. 당신의 선택은?”
    1. 미쳤다…! 올인한다.
    2. 혹시 모르니까… 적당한 돈만 배팅한다."
7,4,1,테스트를 마치겠습니다! 고객님의 투자유형은 PeqV입니다!
8,0,투자성향 테스트 할래,"좋아요! 질문을 제시할테니 해당하는 답의 번호를 적어주세요!
""투자를 처음 접하는 당신! 투자의 목적은 무엇인가요?""
    1. 인생역전! 돈을 많이 불리고 싶어요.
    2. 그냥 소소하게 용돈벌이를 하고 싶어요."
8,1,2,"다음 질문입니다!
“’아…옷사고싶다…’ 당신은 어떤 옷을 구매하는 편인가요?” 
    1. 검증된게 좋지. 이미 유행하고 있는 옷을 구매한다.
    2. 내 눈은 정확하다..! 나중에 유행할 패션을 예측하여 구매한다.

"
8,2,1,"다음 질문이에요!
""이럴수가, 밥솥이 고장났네요! 새로운 밥솥을 어떻게 고를까요?""
    1. 싼게 비지떡! 평판이 좋은 브랜드의 제품을 구매한다.
    2. 브랜드와 상관없이 가장 저렴한 제품을 선택한다."
8,3,1,"마지막 질문입니다!
""포커를 하는 당신!! 좋은 패가 나왔군요. 당신의 선택은?”
    1. 미쳤다…! 올인한다.
    2. 혹시 모르니까… 적당한 돈만 배팅한다."
8,4,2,테스트를 마치겠습니다! 고객님의 투자유형은 pEQv입니다!
9,0,투자성향 테스트 할래,"좋아요! 질문을 제시할테니 해당하는 답의 번호를 적어주세요!
""투자를 처음 접하는 당신! 투자의 목적은 무엇인가요?""
    1. 인생역전! 돈을 많이 불리고 싶어요.
    2. 그냥 소소하게 용돈벌이를 하고 싶어요."
9,1,2,"다음 질문입니다!
“’아…옷사고싶다…’ 당신은 어떤 옷을 구매하는 편인가요?” 
    1. 검증된게 좋지. 이미 유행하고 있는 옷을 구매한다.
    2. 내 눈은 정확하다..! 나중에 유행할 패션을 예측하여 구매한다.

"
9,2,1,"다음 질문이에요!
""이럴수가, 밥솥이 고장났네요! 새로운 밥솥을 어떻게 고를까요?""
    1. 싼게 비지떡! 평판이 좋은 브랜드의 제품을 구매한다.
    2. 브랜드와 상관없이 가장 저렴한 제품을 선택한다."
9,3,2,"마지막 질문입니다!
""포커를 하는 당신!! 좋은 패가 나왔군요. 당신의 선택은?”
    1. 미쳤다…! 올인한다.
    2. 혹시 모르니까… 적당한 돈만 배팅한다."
9,4,1,테스트를 마치겠습니다! 고객님의 투자유형은 pEqV입니다!
10,0,투자성향 테스트 할래,"좋아요! 질문을 제시할테니 해당하는 답의 번호를 적어주세요!
""투자를 처음 접하는 당신! 투자의 목적은 무엇인가요?""
    1. 인생역전! 돈을 많이 불리고 싶어요.
    2. 그냥 소소하게 용돈벌이를 하고 싶어요."
10,1,2,"다음 질문입니다!
“’아…옷사고싶다…’ 당신은 어떤 옷을 구매하는 편인가요?” 
    1. 검증된게 좋지. 이미 유행하고 있는 옷을 구매한다.
    2. 내 눈은 정확하다..! 나중에 유행할 패션을 예측하여 구매한다.

"
10,2,2,"다음 질문이에요!
""이럴수가, 밥솥이 고장났네요! 새로운 밥솥을 어떻게 고를까요?""
    1. 싼게 비지떡! 평판이 좋은 브랜드의 제품을 구매한다.
    2. 브랜드와 상관없이 가장 저렴한 제품을 선택한다."
10,3,1,"마지막 질문입니다!
""포커를 하는 당신!! 좋은 패가 나왔군요. 당신의 선택은?”
    1. 미쳤다…! 올인한다.
    2. 혹시 모르니까… 적당한 돈만 배팅한다."
10,4,1,테스트를 마치겠습니다! 고객님의 투자유형은 peQV입니다!
11,0,투자성향 테스트 할래,"좋아요! 질문을 제시할테니 해당하는 답의 번호를 적어주세요!
""투자를 처음 접하는 당신! 투자의 목적은 무엇인가요?""
    1. 인생역전! 돈을 많이 불리고 싶어요.
    2. 그냥 소소하게 용돈벌이를 하고 싶어요."
11,1,1,"다음 질문입니다!
“’아…옷사고싶다…’ 당신은 어떤 옷을 구매하는 편인가요?” 
    1. 검증된게 좋지. 이미 유행하고 있는 옷을 구매한다.
    2. 내 눈은 정확하다..! 나중에 유행할 패션을 예측하여 구매한다.

"
11,2,2,"다음 질문이에요!
""이럴수가, 밥솥이 고장났네요! 새로운 밥솥을 어떻게 고를까요?""
    1. 싼게 비지떡! 평판이 좋은 브랜드의 제품을 구매한다.
    2. 브랜드와 상관없이 가장 저렴한 제품을 선택한다."
11,3,2,"마지막 질문입니다!
""포커를 하는 당신!! 좋은 패가 나왔군요. 당신의 선택은?”
    1. 미쳤다…! 올인한다.
    2. 혹시 모르니까… 적당한 돈만 배팅한다."
11,4,2,테스트를 마치겠습니다! 고객님의 투자유형은 Peqv입니다!
12,0,투자성향 테스트 할래,"좋아요! 질문을 제시할테니 해당하는 답의 번호를 적어주세요!
""투자를 처음 접하는 당신! 투자의 목적은 무엇인가요?""
    1. 인생역전! 돈을 많이 불리고 싶어요.
    2. 그냥 소소하게 용돈벌이를 하고 싶어요."
12,1,2,"다음 질문입니다!
“’아…옷사고싶다…’ 당신은 어떤 옷을 구매하는 편인가요?” 
    1. 검증된게 좋지. 이미 유행하고 있는 옷을 구매한다.
    2. 내 눈은 정확하다..! 나중에 유행할 패션을 예측하여 구매한다.

"
12,2,1,"다음 질문이에요!
""이럴수가, 밥솥이 고장났네요! 새로운 밥솥을 어떻게 고를까요?""
    1. 싼게 비지떡! 평판이 좋은 브랜드의 제품을 구매한다.
    2. 브랜드와 상관없이 가장 저렴한 제품을 선택한다."
12,3,2,"마지막 질문입니다!
""포커를 하는 당신!! 좋은 패가 나왔군요. 당신의 선택은?”
    1. 미쳤다…! 올인한다.
    2. 혹시 모르니까… 적당한 돈만 배팅한다."
12,4,2,테스트를 마치겠습니다! 고객님의 투자유형은 pEqv입니다!
13,0,투자성향 테스트 할래,"좋아요! 질문을 제시할테니 해당하는 답의 번호를 적어주세요!
""투자를 처음 접하는 당신! 투자의 목적은 무엇인가요?""
    1. 인생역전! 돈을 많이 불리고 싶어요.
    2. 그냥 소소하게 용돈벌이를 하고 싶어요."
13,1,2,"다음 질문입니다!
“’아…옷사고싶다…’ 당신은 어떤 옷을 구매하는 편인가요?” 
    1. 검증된게 좋지. 이미 유행하고 있는 옷을 구매한다.
    2. 내 눈은 정확하다..! 나중에 유행할 패션을 예측하여 구매한다.

"
13,2,2,"다음 질문이에요!
""이럴수가, 밥솥이 고장났네요! 새로운 밥솥을 어떻게 고를까요?""
    1. 싼게 비지떡! 평판이 좋은 브랜드의 제품을 구매한다.
    2. 브랜드와 상관없이 가장 저렴한 제품을 선택한다."
13,3,1,"마지막 질문입니다!
""포커를 하는 당신!! 좋은 패가 나왔군요. 당신의 선택은?”
    1. 미쳤다…! 올인한다.
    2. 혹시 모르니까… 적당한 돈만 배팅한다."
13,4,2,테스트를 마치겠습니다! 고객님의 투자유형은 peQv입니다!
14,0,투자성향 테스트 할래,"좋아요! 질문을 제시할테니 해당하는 답의 번호를 적어주세요!
""투자를 처음 접하는 당신! 투자의 목적은 무엇인가요?""
    1. 인생역전! 돈을 많이 불리고 싶어요.
    2. 그냥 소소하게 용돈벌이를 하고 싶어요."
14,1,2,"다음 질문입니다!
“’아…옷사고싶다…’ 당신은 어떤 옷을 구매하는 편인가요?” 
    1. 검증된게 좋지. 이미 유행하고 있는 옷을 구매한다.
    2. 내 눈은 정확하다..! 나중에 유행할 패션을 예측하여 구매한다.

"
14,2,2,"다음 질문이에요!
""이럴수가, 밥솥이 고장났네요! 새로운 밥솥을 어떻게 고를까요?""
    1. 싼게 비지떡! 평판이 좋은 브랜드의 제품을 구매한다.
    2. 브랜드와 상관없이 가장 저렴한 제품을 선택한다."
14,3,2,"마지막 질문입니다!
""포커를 하는 당신!! 좋은 패가 나왔군요. 당신의 선택은?”
    1. 미쳤다…! 올인한다.
    2. 혹시 모르니까… 적당한 돈만 배팅한다."
14,4,1,테스트를 마치겠습니다! 고객님의 투자유형은 peqV입니다!
15,0,투자성향 테스트 할래,"좋아요! 질문을 제시할테니 해당하는 답의 번호를 적어주세요!
""투자를 처음 접하는 당신! 투자의 목적은 무엇인가요?""
    1. 인생역전! 돈을 많이 불리고 싶어요.
    2. 그냥 소소하게 용돈벌이를 하고 싶어요."
15,1,2,"다음 질문입니다!
“’아…옷사고싶다…’ 당신은 어떤 옷을 구매하는 편인가요?” 
    1. 검증된게 좋지. 이미 유행하고 있는 옷을 구매한다.
    2. 내 눈은 정확하다..! 나중에 유행할 패션을 예측하여 구매한다.

"
15,2,2,"다음 질문이에요!
""이럴수가, 밥솥이 고장났네요! 새로운 밥솥을 어떻게 고를까요?""
    1. 싼게 비지떡! 평판이 좋은 브랜드의 제품을 구매한다.
    2. 브랜드와 상관없이 가장 저렴한 제품을 선택한다."
15,3,2,"마지막 질문입니다!
""포커를 하는 당신!! 좋은 패가 나왔군요. 당신의 선택은?”
    1. 미쳤다…! 올인한다.
    2. 혹시 모르니까… 적당한 돈만 배팅한다."
15,4,2,테스트를 마치겠습니다! 고객님의 투자유형은 peqv입니다!
16,0,투자성향이 'PEQV'인데 맞춤 종목 추천해줘.,"PEQV유형인 종목은
'남양유업', '녹십자', '유한양행' 입니다."
17,0,투자성향이 'PEQV'인데 맞춤 종목 추천해줘.,"PEQV유형인 종목은
'넥슨게임즈', '원익IPS', '제노코', '키이스트' 입니다."
18,0,투자성향이 'pEQV'인데 맞춤 종목 추천해줘.,"pEQV유형인 종목은
'F&F', 'GKL', '대웅제약', '삼성바이오로직스', '삼양식품' 입니다."
19,0,투자성향이 'pEQV'인데 맞춤 종목 추천해줘.,"pEQV유형인 종목은
'아모레퍼시픽', '에이블씨엔씨', '청호ICT', '한미약품', '한전산업' 입니다."
20,0,투자성향이 'pEQV'인데 맞춤 종목 추천해줘.,"pEQV유형인 종목은
'덕산네오룩스', '동성화인텍', '바이오플러스', '솔브레인', '스튜디오드래곤' 입니다."
21,0,투자성향이 'pEQV'인데 맞춤 종목 추천해줘.,"pEQV유형인 종목은
'씨앤씨인터내셔널', '인터로조', '코스메카코리아', '클래시스', '클리오' 입니다."
22,0,투자성향이 'pEQV'인데 맞춤 종목 추천해줘.,"pEQV유형인 종목은
'티씨케이', '파크시스템스', '펄어비스', '피에스케이', '휴젤' 입니다."
23,0,투자성향이 'PeQV'인데 맞춤 종목 추천해줘.,"PeQV유형인 종목은
'SBS', '강남제비스코', '락앤락', '부산산업', '아남전자' 입니다."
24,0,투자성향이 'PeQV'인데 맞춤 종목 추천해줘.,"PeQV유형인 종목은
'일신석재', '프레스티지바이오파마', '한국카본', 'LS마린솔루션', 'SGA솔루션즈' 입니다."
25,0,투자성향이 'PeQV'인데 맞춤 종목 추천해줘.,"PeQV유형인 종목은
'iMBC', '대명소노시즌', '대원미디어', '씨티케이', '아난티' 입니다."
26,0,투자성향이 'PeQV'인데 맞춤 종목 추천해줘.,"PeQV유형인 종목은
'엔에프씨', '컴투스', '크리스에프앤씨' 입니다."
27,0,투자성향이 'PeQV'인데 맞춤 종목 추천해줘.,"PeQV유형인 종목은
'티엘아이', '파인테크닉스', '현대에버다임', '화일약품' 입니다."
28,0,투자성향이 'PEqV'인데 맞춤 종목 추천해줘.,"PEqV유형인 종목은
'BGF리테일', '동성제약', '롯데관광개발', '이연제약', '일동제약' 입니다."
29,0,투자성향이 'PEqV'인데 맞춤 종목 추천해줘.,"PEqV유형인 종목은
'호텔신라', '효성화학', '심텍', '팬젠' 입니다."
30,0,투자성향이 'PEQv'인데 맞춤 종목 추천해줘.,"PEQv유형인 종목은
'LG에너지솔루션', '롯데에너지머티리얼즈', '셀트리온', '에코프로머티', '한올바이오파마' 입니다."
31,0,투자성향이 'PEQv'인데 맞춤 종목 추천해줘.,"PEQv유형인 종목은
'대모', '브리지텍', '샌즈랩', '셀트리온제약', '씨젠' 입니다."
32,0,투자성향이 'PEQv'인데 맞춤 종목 추천해줘.,"PEQv유형인 종목은
 '와이씨', '와이지엔터테인먼트', '카페24', '핑거', '휴림로봇' 입니다."
33,0,투자성향이 'PEqv'인데 맞춤 종목 추천해줘.,"PEqv유형인 종목은
'HD현대미포', 'HD현대중공업', '삼부토건', '삼성중공업', '씨에스윈드' 입니다."
34,0,투자성향이 'PEqv'인데 맞춤 종목 추천해줘.,"PEqv유형인 종목은
'엘앤에프', '카카오페이', '한화에어로스페이스', '한화오션', 'HLB' 입니다."
35,0,투자성향이 'PEqv'인데 맞춤 종목 추천해줘.,"PEqv유형인 종목은
'SG', '덕산테코피아', '미스터블루', '솔트룩스', '신성델타테크' 입니다."
36,0,투자성향이 'PEqv'인데 맞춤 종목 추천해줘.,"PEqv유형인 종목은
'알에스오토메이션', '에이비엘바이오', '에코프로', '에코프로비엠', '엔비티' 입니다."
37,0,투자성향이 'PEqv'인데 맞춤 종목 추천해줘.,"PEqv유형인 종목은
'캐리', '코아시아', '테크윙', '티라유텍', '펩트론', '포바이포' 입니다."
38,0,투자성향이 'PEqv'인데 맞춤 종목 추천해줘.,"PEqv유형인 종목은
'엔켐', '엠젠솔루션', '오브젠', '오스코텍', '올릭스' 입니다."
39,0,투자성향이 'PEqv'인데 맞춤 종목 추천해줘.,"PEqv유형인 종목은
'위메이드', '유니슨', '제이엘케이', '지놈앤컴퍼니', '지오릿에너지', '천보' 입니다."
40,0,투자성향이 'PeQv'인데 맞춤 종목 추천해줘.,"PeQv유형인 종목은
'LG화학', 'SK아이이테크놀로지', '그린케미칼', '넷마블', '대덕전자' 입니다."
41,0,투자성향이 'PeQv'인데 맞춤 종목 추천해줘.,"PeQv유형인 종목은
'대한전선', '롯데케미칼', '현대위아', '현대제철', '금양그린파워' 입니다."
42,0,투자성향이 'PeQv'인데 맞춤 종목 추천해줘.,"PeQv유형인 종목은
'랩지노믹스', '레인보우로보틱스', '수젠텍', '쎄트렉아이' 입니다."
43,0,투자성향이 'PeQv'인데 맞춤 종목 추천해줘.,"PeQv유형인 종목은
'인텔리안테크', '인포뱅크', '지니언스', '휴마시스' 입니다."
44,0,투자성향이 'PeqV'인데 맞춤 종목 추천해줘.,"PeqV유형인 종목은
'DL이앤씨', 'GS리테일', 'HJ중공업', 'SK가스', '금호건설' 입니다."
45,0,투자성향이 'PeqV'인데 맞춤 종목 추천해줘.,"PeqV유형인 종목은
'대구백화점', '대원전선', '동부건설', '롯데쇼핑', '롯데칠성' 입니다."
46,0,투자성향이 'PeqV'인데 맞춤 종목 추천해줘.,"PeqV유형인 종목은
'부광약품', '신성통상', '아시아나항공', '인디에프', '풀무원' 입니다."
